junction_length	tpos	cond_pos	cond_all	cond_neg	test_pos	fpos	norm_mini	size_threshold	para_pp	para_pw	sample	radius
24	9161	9286	76636	67350	9282	121	0.5	1000	353.956	33.798	M5-1	0.5
27	9928	11312	53956	42644	9928	0	0.5	1000	353.956	33.798	M5-1	0.5
30	84740	84807	512578	427771	84741	1	0.5	1000	353.956	33.798	M5-1	0.5
33	15278	16399	1097421	1081022	15288	10	0.5	1000	353.956	33.798	M5-1	0.5
35	0	0	0	0	0	0	0.5	1000	353.956	33.798	M5-1	0.5
36	38415	38513	3324331	3285818	38445	30	0.5	1000	353.956	33.798	M5-1	0.5
37	0	0	0	0	0	0	0.5	1000	353.956	33.798	M5-1	0.5
39	76503	78081	8914753	8836672	76506	3	0.5	1000	353.956	33.798	M5-1	0.5
40	0	0	0	0	0	0	0.5	1000	353.956	33.798	M5-1	0.5
42	167660	168038	24440536	24272498	168058	398	0.5	1000	353.956	33.798	M5-1	0.5
45	189861	190901	46527481	46336580	190109	248	0.5	1000	353.956	33.798	M5-1	0.5
47	0	0	0	0	0	0	0.5	1000	353.956	33.798	M5-1	0.5
48	425431	430088	84142878	83712790	425928	497	0.5	1000	353.956	33.798	M5-1	0.5
49	0	0	0	0	0	0	0.5	1000	353.956	33.798	M5-1	0.5
51	279115	283513	65259600	64976087	280933	1818	0.5	1000	353.956	33.798	M5-1	0.5
54	393148	394658	62826445	62431787	393265	117	0.5	1000	353.956	33.798	M5-1	0.5
55	1	1	1	0	1	0	0.5	1000	353.956	33.798	M5-1	0.5
57	400763	402140	60077241	59675101	401026	263	0.5	1000	353.956	33.798	M5-1	0.5
58	0	0	0	0	0	0	0.5	1000	353.956	33.798	M5-1	0.5
59	0	0	0	0	0	0	0.5	1000	353.956	33.798	M5-1	0.5
60	138985	141584	42878430	42736846	139305	320	0.5	1000	353.956	33.798	M5-1	0.5
61	0	1	1	0	0	0	0.5	1000	353.956	33.798	M5-1	0.5
62	3	3	6	3	3	0	0.5	1000	353.956	33.798	M5-1	0.5
63	282518	283443	33020001	32736558	282581	63	0.5	1000	353.956	33.798	M5-1	0.5
64	0	0	0	0	0	0	0.5	1000	353.956	33.798	M5-1	0.5
66	145565	146922	23225520	23078598	145565	0	0.5	1000	353.956	33.798	M5-1	0.5
69	210314	210783	17877210	17666427	210350	36	0.5	1000	353.956	33.798	M5-1	0.5
72	197710	198785	11005086	10806301	197886	176	0.5	1000	353.956	33.798	M5-1	0.5
75	27022	27401	2809635	2782234	27026	4	0.5	1000	353.956	33.798	M5-1	0.5
76	0	0	0	0	0	0	0.5	1000	353.956	33.798	M5-1	0.5
78	57390	58159	2273778	2215619	57390	0	0.5	1000	353.956	33.798	M5-1	0.5
81	14868	14958	644680	629722	14868	0	0.5	1000	353.956	33.798	M5-1	0.5
84	29235	29526	328455	298929	29235	0	0.5	1000	353.956	33.798	M5-1	0.5
87	4182	4182	52650	48468	4185	3	0.5	1000	353.956	33.798	M5-1	0.5
90	2090	2090	18721	16631	2090	0	0.5	1000	353.956	33.798	M5-1	0.5
12	0	0	0	0	0	0	0.5	1000	61.865	15.792	M3-1	0.5
24	19	19	528	509	20	1	0.5	1000	61.865	15.792	M3-1	0.5
27	1012	1012	3403	2391	1012	0	0.5	1000	61.865	15.792	M3-1	0.5
30	2244	2244	20706	18462	2266	22	0.5	1000	61.865	15.792	M3-1	0.5
33	14453	14843	188191	173348	14453	0	0.5	1000	61.865	15.792	M3-1	0.5
